0,1,2,3,4
122.0,33.0,18.0,51.0,57.0
62.0,121.0,777.0,145.0,53.0
25.0,234.0,4.0,110.0,50.0
84.0,421.0,2.0,51.0,412.0
266.0,102.0,246.0,145.0,555.0
107.0,62.0,711.0,202.0,25.0
78.0,876.0,875.0,202.0,101.0
36.0,60.0,27.0,15.0,25.0
516.0,56.0,245.0,22.0,89.0
235.0,421.0,115.0,122.0,223.0
266.0,104.0,4.0,202.0,235.0
114.0,102.0,3.0,145.0,134.0
24.0,120.0,61.0,29.0,350.0
887.0,115.0,203.0,429.0,80.0
266.0,76.0,84.0,119.0,43.0
223.0,238.0,79.0,498.0,53.0
6.0,141.0,101.0,523.0,44.0
58.0,238.0,50.0,236.0,53.0
39.0,28.0,81.0,145.0,99.0
10.0,32.0,112.0,202.0,43.0
164.0,64.0,26.0,360.0,101.0
92.0,78.0,103.0,236.0,267.0
27.0,56.0,7.0,236.0,267.0
122.0,64.0,103.0,888.0,429.0
104.0,102.0,38.0,29.0,350.0
107.0,91.0,103.0,145.0,111.0
78.0,48.0,142.0,51.0,526.0
107.0,62.0,45.0,236.0,888.0
154.0,64.0,238.0,221.0,147.0
875.0,163.0,84.0,96.0,350.0
85.0,76.0,92.0,67.0,53.0
50.0,64.0,517.0,51.0,12.0
36.0,59.0,50.0,21.0,235.0
102.0,876.0,84.0,360.0,99.0
31.0,64.0,268.0,81.0,44.0
875.0,154.0,131.0,236.0,267.0
114.0,68.0,104.0,145.0,43.0
164.0,246.0,163.0,29.0,888.0
74.0,234.0,84.0,81.0,43.0
122.0,91.0,4.0,67.0,89.0
2.0,20.0,268.0,145.0,235.0
82.0,48.0,4.0,81.0,12.0
98.0,154.0,157.0,51.0,99.0
10.0,104.0,64.0,81.0,161.0
84.0,60.0,39.0,110.0,111.0
68.0,2.0,80.0,222.0,45.0
79.0,64.0,103.0,498.0,412.0
887.0,104.0,246.0,81.0,43.0
106.0,234.0,517.0,81.0,12.0
104.0,254.0,117.0,429.0,888.0
41.0,104.0,117.0,67.0,432.0
266.0,154.0,39.0,81.0,267.0
10.0,64.0,711.0,523.0,350.0
887.0,62.0,234.0,202.0,888.0
122.0,11.0,103.0,51.0,888.0
84.0,104.0,555.0,222.0,147.0
122.0,238.0,103.0,34.0,202.0
31.0,28.0,84.0,81.0,117.0
157.0,64.0,777.0,145.0,75.0
887.0,104.0,711.0,51.0,111.0
41.0,245.0,39.0,236.0,25.0
57.0,141.0,142.0,202.0,53.0
266.0,113.0,166.0,110.0,412.0
54.0,19.0,90.0,18.0,350.0
10.0,131.0,103.0,22.0,43.0
126.0,35.0,55.0,81.0,350.0
54.0,11.0,777.0,236.0,267.0
887.0,121.0,112.0,202.0,99.0
266.0,246.0,134.0,22.0,111.0
62.0,76.0,84.0,360.0,89.0
126.0,104.0,61.0,523.0,117.0
164.0,20.0,21.0,236.0,7.0
887.0,104.0,101.0,523.0,111.0
24.0,163.0,31.0,236.0,53.0
58.0,141.0,103.0,67.0,147.0
102.0,131.0,157.0,81.0,43.0
887.0,64.0,80.0,81.0,117.0
84.0,78.0,157.0,236.0,111.0
50.0,62.0,104.0,360.0,111.0
86.0,2.0,34.0,523.0,53.0
41.0,234.0,711.0,145.0,432.0
23.0,163.0,39.0,111.0,360.0
164.0,20.0,245.0,81.0,45.0
86.0,238.0,134.0,145.0,350.0
240.0,11.0,45.0,51.0,53.0
887.0,107.0,34.0,96.0,117.0
41.0,62.0,103.0,67.0,267.0
98.0,102.0,90.0,81.0,1.0
82.0,234.0,142.0,81.0,111.0
39.0,5.0,103.0,498.0,117.0
72.0,203.0,103.0,145.0,99.0
41.0,245.0,56.0,236.0,555.0
114.0,19.0,4.0,498.0,555.0
62.0,126.0,39.0,360.0,888.0
24.0,234.0,4.0,81.0,350.0
150.0,91.0,54.0,18.0,497.0
67.0,72.0,157.0,429.0,50.0
24.0,104.0,99.0,222.0,89.0
67.0,234.0,103.0,145.0,497.0
6.0,104.0,101.0,115.0,28.0
2.0,91.0,103.0,236.0,267.0
126.0,59.0,69.0,81.0,350.0
420.0,11.0,26.0,145.0,101.0
39.0,33.0,105.0,51.0,147.0
36.0,245.0,266.0,202.0,99.0
75.0,24.0,112.0,18.0,76.0
84.0,20.0,163.0,21.0,555.0
104.0,33.0,55.0,202.0,111.0
86.0,131.0,157.0,202.0,80.0
122.0,104.0,163.0,145.0,30.0
106.0,78.0,777.0,145.0,12.0
58.0,64.0,157.0,222.0,43.0
107.0,234.0,157.0,360.0,50.0
875.0,104.0,84.0,202.0,99.0
112.0,19.0,38.0,145.0,22.0
2.0,887.0,8.0,360.0,111.0
104.0,163.0,45.0,523.0,117.0
126.0,421.0,103.0,81.0,40.0
122.0,245.0,99.0,145.0,238.0
41.0,163.0,157.0,523.0,350.0
85.0,59.0,157.0,96.0,117.0
50.0,77.0,238.0,81.0,101.0
68.0,59.0,517.0,221.0,25.0
83.0,245.0,10.0,429.0,89.0
103.0,19.0,111.0,81.0,114.0
150.0,104.0,163.0,145.0,53.0
58.0,234.0,875.0,81.0,53.0
122.0,91.0,98.0,145.0,57.0
122.0,5.0,26.0,222.0,235.0
126.0,121.0,45.0,81.0,117.0
150.0,104.0,84.0,145.0,89.0
107.0,141.0,38.0,222.0,3.0
164.0,245.0,112.0,81.0,45.0
104.0,203.0,103.0,429.0,80.0
246.0,24.0,103.0,221.0,235.0
107.0,64.0,1.0,236.0,99.0
39.0,30.0,31.0,81.0,43.0
58.0,19.0,67.0,236.0,34.0
114.0,76.0,3.0,222.0,63.0
2.0,131.0,157.0,145.0,235.0
62.0,131.0,27.0,81.0,89.0
126.0,9.0,103.0,202.0,26.0
107.0,28.0,517.0,67.0,350.0
41.0,35.0,55.0,115.0,111.0
50.0,234.0,103.0,67.0,350.0
223.0,104.0,711.0,51.0,89.0
41.0,64.0,163.0,67.0,497.0
777.0,887.0,103.0,360.0,111.0
39.0,59.0,105.0,81.0,99.0
122.0,887.0,777.0,145.0,111.0
122.0,64.0,238.0,81.0,235.0
114.0,245.0,777.0,67.0,888.0
24.0,19.0,38.0,145.0,111.0
10.0,203.0,45.0,223.0,235.0
5.0,131.0,777.0,145.0,143.0
67.0,76.0,103.0,498.0,117.0
74.0,35.0,84.0,81.0,61.0
2.0,91.0,105.0,236.0,267.0
114.0,60.0,157.0,236.0,99.0
41.0,131.0,90.0,51.0,25.0
266.0,19.0,81.0,268.0,16.0
122.0,131.0,517.0,523.0,235.0
54.0,131.0,105.0,145.0,12.0
236.0,64.0,4.0,222.0,35.0
85.0,104.0,7.0,18.0,350.0
114.0,234.0,517.0,498.0,267.0
2.0,163.0,145.0,67.0,235.0
50.0,104.0,777.0,21.0,32.0
16.0,60.0,107.0,145.0,101.0
133.0,104.0,517.0,119.0,17.0
107.0,104.0,711.0,145.0,26.0
82.0,35.0,105.0,202.0,63.0
41.0,91.0,101.0,145.0,99.0
236.0,19.0,4.0,67.0,235.0
45.0,203.0,39.0,145.0,555.0
14.0,62.0,4.0,498.0,25.0
126.0,11.0,134.0,69.0,12.0
39.0,64.0,517.0,236.0,111.0
79.0,104.0,27.0,81.0,115.0
107.0,163.0,99.0,67.0,101.0
39.0,56.0,25.0,81.0,63.0
107.0,59.0,34.0,67.0,888.0
75.0,121.0,103.0,18.0,57.0
84.0,203.0,711.0,429.0,89.0
17.0,104.0,126.0,498.0,235.0
39.0,62.0,711.0,222.0,101.0
104.0,91.0,84.0,236.0,267.0
122.0,60.0,8.0,145.0,111.0
50.0,120.0,84.0,81.0,53.0
39.0,62.0,777.0,51.0,99.0
114.0,11.0,163.0,236.0,267.0
82.0,234.0,27.0,235.0,50.0
17.0,245.0,157.0,222.0,50.0
164.0,104.0,39.0,360.0,79.0
98.0,9.0,131.0,203.0,22.0
27.0,91.0,517.0,81.0,99.0
23.0,254.0,112.0,157.0,54.0
107.0,141.0,25.0,21.0,99.0
41.0,141.0,777.0,67.0,16.0
23.0,64.0,84.0,222.0,25.0
2.0,10.0,99.0,236.0,117.0
