,matchID,championID,position,win,kda
12969,KR_6005942041,555,UTILITY,False,1.5
12970,KR_6005863099,114,TOP,False,0.125
12971,KR_6005863099,30,JUNGLE,False,0.6666666666666666
12972,KR_6005863099,42,MIDDLE,False,0.5714285714285714
12973,KR_6005863099,81,BOTTOM,False,1.5
12974,KR_6005863099,89,UTILITY,False,1.5
12975,KR_6005863099,58,TOP,True,3.25
12976,KR_6005863099,141,JUNGLE,True,14.0
12977,KR_6005863099,3,MIDDLE,True,18.0
12978,KR_6005863099,222,BOTTOM,True,3.75
12979,KR_6005863099,888,UTILITY,True,7.0
12980,KR_5989677449,517,TOP,True,2.0
12981,KR_5989677449,9,JUNGLE,True,21.0
12982,KR_5989677449,8,MIDDLE,True,19.0
12983,KR_5989677449,22,BOTTOM,True,11.0
12984,KR_5989677449,111,UTILITY,True,8.5
12985,KR_5989677449,875,TOP,False,0.6666666666666666
12986,KR_5989677449,131,JUNGLE,False,0.42857142857142855
12987,KR_5989677449,3,MIDDLE,False,0.2
12988,KR_5989677449,236,BOTTOM,False,0.8571428571428571
12989,KR_5989677449,267,UTILITY,False,0.8333333333333334
12990,KR_5997173399,150,TOP,True,2.5
12991,KR_5997173399,76,JUNGLE,True,3.0
12992,KR_5997173399,3,MIDDLE,True,13.0
12993,KR_5997173399,119,BOTTOM,True,9.0
12994,KR_5997173399,111,UTILITY,True,17.0
12995,KR_5997173399,114,TOP,False,1.0
12996,KR_5997173399,64,JUNGLE,False,1.75
12997,KR_5997173399,13,MIDDLE,False,1.0
12998,KR_5997173399,81,BOTTOM,False,0.6666666666666666
12999,KR_5997173399,43,UTILITY,False,0.625
13000,KR_5933637441,887,TOP,False,0.7647058823529411
13001,KR_5933637441,121,JUNGLE,False,2.6666666666666665
13002,KR_5933637441,92,MIDDLE,False,1.6923076923076923
13003,KR_5933637441,81,BOTTOM,False,3.4
13004,KR_5933637441,350,UTILITY,False,3.125
13005,KR_5933637441,85,TOP,True,2.0833333333333335
13006,KR_5933637441,64,JUNGLE,True,10.0
13007,KR_5933637441,157,MIDDLE,True,3.2
13008,KR_5933637441,145,BOTTOM,True,3.5555555555555554
13009,KR_5933637441,89,UTILITY,True,2.4545454545454546
13010,KR_5996800480,10,TOP,False,2.0
13011,KR_5996800480,421,JUNGLE,False,2.5
13012,KR_5996800480,142,MIDDLE,False,3.5
13013,KR_5996800480,221,BOTTOM,False,0.5
13014,KR_5996800480,350,UTILITY,False,1.4
13015,KR_5996800480,43,MIDDLE,True,6.0
13016,KR_5996800480,91,JUNGLE,True,4.0
13017,KR_5996800480,41,TOP,True,10.0
13018,KR_5996800480,119,BOTTOM,True,3.25
13019,KR_5996800480,888,UTILITY,True,18.0
13020,KR_6005940178,126,TOP,True,1.1428571428571428
13021,KR_6005940178,30,JUNGLE,True,3.125
13022,KR_6005940178,104,MIDDLE,True,5.666666666666667
13023,KR_6005940178,222,BOTTOM,True,3.75
13024,KR_6005940178,412,UTILITY,True,1.4444444444444444
13025,KR_6005940178,236,TOP,False,2.0
13026,KR_6005940178,62,JUNGLE,False,2.3333333333333335
13027,KR_6005940178,103,MIDDLE,False,5.0
13028,KR_6005940178,523,BOTTOM,False,1.5
13029,KR_6005940178,111,UTILITY,False,4.666666666666667
13030,KR_5933709874,98,TOP,True,3.0
13031,KR_5933709874,131,JUNGLE,True,7.0
13032,KR_5933709874,157,MIDDLE,True,8.0
13033,KR_5933709874,222,BOTTOM,True,6.0
13034,KR_5933709874,555,UTILITY,True,1.5714285714285714
13035,KR_5933709874,122,TOP,False,1.0
13036,KR_5933709874,91,JUNGLE,False,4.0
13037,KR_5933709874,103,MIDDLE,False,0.8
13038,KR_5933709874,523,BOTTOM,False,2.3333333333333335
13039,KR_5933709874,117,UTILITY,False,1.1666666666666667
13040,KR_5933902414,43,UTILITY,False,1.6666666666666667
13041,KR_5933902414,234,JUNGLE,False,2.6
13042,KR_5933902414,112,MIDDLE,False,3.3333333333333335
13043,KR_5933902414,236,BOTTOM,False,1.5714285714285714
13044,KR_5933902414,85,TOP,False,2.6666666666666665
13045,KR_5933902414,39,TOP,True,2.4
13046,KR_5933902414,33,JUNGLE,True,3.6
13047,KR_5933902414,26,MIDDLE,True,5.0
13048,KR_5933902414,81,BOTTOM,True,3.0
13049,KR_5933902414,235,UTILITY,True,3.0
13050,KR_5933451256,234,TOP,False,1.1428571428571428
13051,KR_5933451256,102,JUNGLE,False,2.4285714285714284
13052,KR_5933451256,777,MIDDLE,False,2.4
13053,KR_5933451256,145,BOTTOM,False,0.6666666666666666
13054,KR_5933451256,111,UTILITY,False,0.9
13055,KR_5933451256,41,TOP,True,2.1666666666666665
13056,KR_5933451256,163,JUNGLE,True,3.2857142857142856
13057,KR_5933451256,142,MIDDLE,True,6.0
13058,KR_5933451256,498,BOTTOM,True,6.75
13059,KR_5933451256,235,UTILITY,True,6.6
13060,KR_5982281545,98,MIDDLE,False,1.25
13061,KR_5982281545,245,JUNGLE,False,1.8888888888888888
13062,KR_5982281545,114,TOP,False,0.5714285714285714
13063,KR_5982281545,53,UTILITY,False,1.7272727272727273
13064,KR_5982281545,15,BOTTOM,False,3.1666666666666665
13065,KR_5982281545,106,TOP,True,19.0
13066,KR_5982281545,234,JUNGLE,True,9.0
13067,KR_5982281545,517,MIDDLE,True,2.4285714285714284
13068,KR_5982281545,221,BOTTOM,True,3.0
13069,KR_5982281545,111,UTILITY,True,1.5384615384615385
13070,KR_5995724319,10,TOP,True,6.0
13071,KR_5995724319,131,JUNGLE,True,5.333333333333333
13072,KR_5995724319,58,MIDDLE,True,6.666666666666667
13073,KR_5995724319,203,BOTTOM,True,26.0
13074,KR_5995724319,111,UTILITY,True,3.0
13075,KR_5995724319,113,TOP,False,3.75
13076,KR_5995724319,64,JUNGLE,False,0.6153846153846154
13077,KR_5995724319,34,MIDDLE,False,1.2222222222222223
13078,KR_5995724319,81,BOTTOM,False,1.5
13079,KR_5995724319,497,UTILITY,False,1.7777777777777777
